# col1   Name            RA            DEC            Peak         Peak_err         Flux         Flux_err         rms  
  1      042348-724412   04:23:49.01   -72:44:16.38   591.0        2.0              737.0        2.0              1.8       
  2      042401-724719   04:24:00.41   -72:46:47.75   378.0        2.0              1553.0       6.0              1.8       
  3      042501-724701   04:25:00.92   -72:46:57.69   170.0        2.0              221.0        2.0              1.8       
  4      042507-732419   04:25:05.68   -73:24:11.34   11.0         1.0              37.0         5.0              1.62      
  5      042549-724330   04:25:48.24   -72:43:30.77   23.0         2.0              27.0         2.0              1.8       
  6      042557-732526   04:25:55.56   -73:25:24.06   16.0         1.0              28.0         2.0              1.29      
  7      042633-734358   04:26:34.92   -73:43:50.53   10.0         2.0              15.0         3.0              1.81      
  8      042650-733748   04:26:49.68   -73:37:47.48   55.0         1.0              62.0         1.0              1.29      
  9      042656-721156   04:26:56.24   -72:11:53.75   85.0         1.0              99.0         1.0              1.21      
  10     042751-724826   04:27:49.57   -72:48:18.49   7.0          1.0              15.0         3.0              1.14      
  11     042817-715909   04:28:17.08   -71:58:53.24   5.0          1.0              14.0         4.0              1.03      
  12     042824-734955   04:28:21.48   -73:49:52.88   10.0         2.0              15.0         3.0              1.65      
  13     042844-725432   04:28:43.77   -72:54:30.22   82.0         1.0              99.0         1.0              1.14      
  14     042917-725938   04:29:16.42   -72:59:43.37   10.0         1.0              16.0         2.0              1.14      
  15     042952-722719   04:29:51.55   -72:27:17.50   39.0         1.0              51.0         1.0              1.04      
  16     042960-732617   04:29:58.18   -73:26:13.25   8.0          1.0              10.0         2.0              1.22      
  17     043000-720242   04:29:59.50   -72:02:46.31   8.8          0.9              10.0         1.0              0.94      
  18     043002-714038   04:30:01.50   -71:40:38.63   6.7          0.9              11.0         2.0              0.94      
  19     043009-703952   04:30:10.50   -70:39:53.43   6.0          1.0              8.0          2.0              1.12      
  20     043031-731239   04:30:30.50   -73:12:36.47   32.0         1.0              41.0         1.0              1.15      
  21     043047-721634   04:30:46.68   -72:16:32.18   33.5         0.8              64.0         2.0              0.94      
  22     043100-731141   04:30:59.82   -73:11:42.83   10.0         1.0              20.0         2.0              1.15      
  23     043103-712233   04:31:01.55   -71:22:37.77   5.6          0.9              6.0          1.0              0.94      
  24     043139-711309   04:31:38.75   -71:13:09.41   6.0          1.0              6.0          1.0              0.98      
  25     043157-724448   04:31:55.96   -72:44:45.89   20.0         2.0              24.0         3.0              0.88      
  26     043201-711333   04:32:00.25   -71:13:32.69   88.7         0.9              111.0        1.0              0.98      
  27     043208-724935   04:32:07.62   -72:49:33.02   147.0        1.0              181.0        1.0              1.01      
  28     043209-700536   04:32:09.40   -70:05:36.29   8.0          1.0              8.0          1.0              1.04      
  29     043209-735432   04:32:08.42   -73:54:31.40   116.0        2.0              141.0        2.0              1.65      
  30     043233-704210   04:32:31.73   -70:42:00.90   21.0         1.0              30.0         2.0              1.22      
  31     043240-711625   04:32:39.71   -71:16:21.40   18.6         0.8              21.8         0.9              0.79      
  32     043252-713318   04:32:51.71   -71:33:16.10   232.8        0.7              291.0        1.0              0.76      
  33     043259-735810   04:32:57.85   -73:58:13.20   9.0          2.0              10.0         2.0              1.55      
  34     043301-731412   04:33:01.00   -73:14:09.34   29.0         1.0              39.0         2.0              1.15      
  35     043308-702949   04:33:07.95   -70:29:49.29   9.0          1.0              12.0         2.0              1.22      
  36     043319-700531   04:33:19.83   -70:05:26.50   9.0          1.0              12.0         1.0              1.04      
  37     043324-710517   04:33:23.59   -71:05:07.86   4.5          0.8              5.0          1.0              0.79      
  38     043325-702348   04:33:24.27   -70:23:36.37   10.0         1.0              10.0         1.0              1.22      
  39     043331-703800   04:33:30.68   -70:38:00.34   41.0         1.0              51.0         2.0              1.22      
  40     043349-700327   04:33:49.03   -70:03:27.70   12.0         1.0              14.0         1.0              1.04      
