Name,RA2000,DEC2000
040217-734215,04:02:17.78,-73:42:15.1
040440-724024,04:04:40.73,-72:40:24.6
040447-732915,04:04:47.23,-73:29:15.4
040455-732752,04:04:55.03,-73:27:52.9
040456-734144,04:04:56.64,-73:41:44.5
040513-723725,04:05:13.63,-72:37:25.3
040518-733148,04:05:18.91,-73:31:48.7
040532-733554,04:05:32.83,-73:35:54.6
040557-725156,04:05:57.05,-72:51:56.9
040633-733239,04:06:33.82,-73:32:39.5
040645-721406,04:06:45.31,-72:14:06.7
040654-722705,04:06:54.17,-72:27:05.4
040655-725509,04:06:55.30,-72:55:09.1
040659-733405,04:06:59.74,-73:34:05.5
040709-730820,04:07:09.50,-73:08:20.8
040717-715752,04:07:17.42,-71:57:52.9
040746-732013,04:07:46.90,-73:20:13.5
040748-715413,04:07:48.02,-71:54:13.0
040749-721622,04:07:49.49,-72:16:22.5
040758-725807,04:07:58.78,-72:58:07.7
040802-725632,04:08:02.59,-72:56:33.0
040802-733954,04:08:02.86,-73:39:54.4
040810-723955,04:08:10.27,-72:39:55.1
040814-730421,04:08:14.16,-73:04:21.0
040820-724819,04:08:20.93,-72:48:19.1
040821-734024,04:08:21.24,-73:40:24.6
040823-733534,04:08:23.52,-73:35:34.1
040834-721908,04:08:34.70,-72:19:08.0
040841-730557,04:08:41.42,-73:05:57.9
040904-721914,04:09:04.37,-72:19:14.5
040914-714204,04:09:14.45,-71:42:04.7
040936-731130,04:09:36.65,-73:11:30.1
040939-731456,04:09:39.10,-73:14:56.8
041000-721107,04:10:00.36,-72:11:07.4
041004-713752,04:10:04.99,-71:37:52.3
041012-725708,04:10:12.31,-72:57:09.0
041015-733747,04:10:15.05,-73:37:46.9
041032-734234,04:10:32.90,-73:42:34.2
041059-733107,04:10:59.16,-73:31:07.3
041121-723936,04:11:21.12,-72:39:36.4
041122-714350,04:11:22.66,-71:43:50.5
041126-740910,04:11:26.52,-74:09:10.1
041127-733446,04:11:27.48,-73:34:46.2
041136-725926,04:11:36.34,-72:59:26.9
041137-732433,04:11:37.82,-73:24:33.1
041139-733151,04:11:39.34,-73:31:50.9
041142-730254,04:11:42.77,-73:02:54.2
041151-723454,04:11:51.22,-72:34:54.1
041158-732747,04:11:58.54,-73:27:47.1
041200-715113,04:12:00.41,-71:51:13.3
041211-711850,04:12:11.06,-71:18:50.8
041219-724847,04:12:19.42,-72:48:47.2
041228-734304,04:12:28.37,-73:43:05.2
041232-730403,04:12:32.54,-73:04:03.7
041234-730724,04:12:34.08,-73:07:24.9
041234-732545,04:12:34.80,-73:25:45.1
041239-721444,04:12:39.41,-72:14:44.2
041253-721920,04:12:53.28,-72:19:20.7
041258-723913,04:12:58.44,-72:39:13.7
041318-740931,04:13:18.77,-74:09:32.0
041331-705842,04:13:31.90,-70:58:42.6
041332-732432,04:13:32.71,-73:24:32.8
041332-733117,04:13:32.86,-73:31:17.4
041333-724248,04:13:33.12,-72:42:49.0
041335-724610,04:13:35.64,-72:46:10.9
041337-730103,04:13:37.61,-73:01:03.7
041351-725935,04:13:51.67,-72:59:35.2
041353-724131,04:13:53.21,-72:41:31.6
041353-732723,04:13:53.57,-73:27:23.4
041402-711729,04:14:02.93,-71:17:29.4
041411-733545,04:14:11.30,-73:35:45.2
041411-732425,04:14:11.54,-73:24:25.5
041412-732922,04:14:12.82,-73:29:22.2
041417-711149,04:14:17.30,-71:11:49.2
041420-733956,04:14:20.04,-73:39:56.2
041423-721352,04:14:23.40,-72:13:52.3
041423-741005,04:14:23.66,-74:10:05.5
041429-713501,04:14:29.30,-71:35:01.3
041432-712229,04:14:32.52,-71:22:30.0
041433-715242,04:14:33.98,-71:52:43.0
041437-722726,04:14:37.39,-72:27:26.3
041439-705441,04:14:39.41,-70:54:41.4
041451-735053,04:14:51.67,-73:50:53.5
041458-714611,04:14:58.73,-71:46:11.6
041503-713231,04:15:03.31,-71:32:31.2
041504-720247,04:15:04.85,-72:02:47.4
041509-735106,04:15:09.22,-73:51:06.8
041510-722003,04:15:10.58,-72:20:03.1
041513-715829,04:15:13.78,-71:58:30.0
041517-741508,04:15:17.38,-74:15:08.7
041517-720142,04:15:17.69,-72:01:42.2
041518-695434,04:15:18.17,-69:54:34.2
041521-721251,04:15:21.72,-72:12:51.8
041524-713846,04:15:24.07,-71:38:46.7
041526-702751,04:15:26.09,-70:27:51.1
041527-715447,04:15:27.43,-71:54:47.9
041527-734858,04:15:27.60,-73:48:59.0
041535-721828,04:15:35.21,-72:18:28.1
041538-725840,04:15:38.90,-72:58:40.1
041540-734028,04:15:40.44,-73:40:28.2
041541-712410,04:15:41.66,-71:24:10.8
041544-724505,04:15:44.04,-72:45:05.4
041544-731151,04:15:44.26,-73:11:51.0
041546-703042,04:15:46.13,-70:30:42.8
041549-694401,04:15:49.87,-69:44:01.3
041552-712625,04:15:52.75,-71:26:25.4
041555-702249,04:15:55.51,-70:22:49.4
041556-721318,04:15:56.74,-72:13:18.8
041602-721633,04:16:02.76,-72:16:34.0
041603-712822,04:16:03.29,-71:28:22.8
041604-734153,04:16:04.63,-73:41:53.9
041605-724149,04:16:05.95,-72:41:49.2
041606-701442,04:16:06.14,-70:14:42.4
041614-735009,04:16:14.35,-73:50:09.6
041621-712847,04:16:21.55,-71:28:47.3
041623-722741,04:16:23.28,-72:27:41.8
041625-734909,04:16:25.63,-73:49:09.5
041637-713928,04:16:37.10,-71:39:28.1
041640-732040,04:16:40.49,-73:20:40.2
041648-705540,04:16:48.82,-70:55:40.8
041651-713656,04:16:51.29,-71:36:56.5
041655-722342,04:16:55.51,-72:23:42.7
041655-705354,04:16:55.78,-70:53:53.9
041656-741214,04:16:56.71,-74:12:14.8
041705-724543,04:17:05.78,-72:45:43.2
041706-721557,04:17:06.29,-72:15:56.9
041706-734705,04:17:06.91,-73:47:05.3
041709-720435,04:17:09.84,-72:04:35.8
041710-715551,04:17:10.68,-71:55:51.6
041714-712155,04:17:14.86,-71:21:55.1
041715-702242,04:17:15.82,-70:22:42.6
041725-701849,04:17:25.51,-70:18:49.3
041727-700916,04:17:27.70,-70:09:16.6
041728-711357,04:17:28.51,-71:13:57.7
041729-712705,04:17:29.76,-71:27:05.8
041737-721101,04:17:37.97,-72:11:01.7
041739-721901,04:17:39.10,-72:19:01.2
041746-720908,04:17:46.75,-72:09:08.3
041750-695558,04:17:50.40,-69:55:58.4
041750-732120,04:17:50.74,-73:21:20.9
041753-731556,04:17:53.74,-73:15:56.5
041754-710945,04:17:54.14,-71:09:45.4
041757-710214,04:17:57.67,-71:02:14.3
041800-722152,04:18:00.41,-72:21:52.2
041802-734825,04:18:02.06,-73:48:25.2
041802-721520,04:18:02.95,-72:15:20.9
041810-714216,04:18:10.94,-71:42:16.2
041812-705127,04:18:12.62,-70:51:27.0
041813-733408,04:18:13.61,-73:34:08.4
041816-712452,04:18:16.82,-71:24:52.9
041817-731302,04:18:17.98,-73:13:03.0
041820-733133,04:18:20.88,-73:31:33.2
041824-724354,04:18:24.65,-72:43:54.1
041827-724117,04:18:27.62,-72:41:17.9
041834-700123,04:18:34.90,-70:01:23.9
041835-724546,04:18:35.28,-72:45:46.1
041842-712309,04:18:42.07,-71:23:09.6
041842-730922,04:18:42.19,-73:09:22.3
041846-722627,04:18:46.25,-72:26:28.0
041852-714953,04:18:52.22,-71:49:53.4
041853-725119,04:18:54.00,-72:51:19.8
041903-711244,04:19:03.70,-71:12:45.0
041903-721218,04:19:03.98,-72:12:18.7
041905-683719,04:19:05.04,-68:37:19.9
041905-730711,04:19:05.16,-73:07:11.3
041908-704824,04:19:08.66,-70:48:24.8
041909-710551,04:19:09.67,-71:05:51.4
041916-714547,04:19:16.94,-71:45:47.9
041923-724813,04:19:23.90,-72:48:13.3
041925-710053,04:19:25.34,-71:00:53.6
041927-725145,04:19:27.53,-72:51:45.7
041931-703918,04:19:31.01,-70:39:18.0
041931-704906,04:19:31.06,-70:49:06.6
041935-695943,04:19:35.02,-69:59:43.4
041938-701541,04:19:38.93,-70:15:41.4
041939-711430,04:19:39.79,-71:14:30.1
041943-685144,04:19:43.13,-68:51:44.6
041944-715219,04:19:44.28,-71:52:19.2
041944-712730,04:19:45.00,-71:27:30.6
041948-730036,04:19:48.05,-73:00:36.4
041954-692154,04:19:54.34,-69:21:54.3
042001-711144,04:20:01.32,-71:11:44.2
