"","flags.csv","20cm_box","20cm_blended","20cm_dbl_ext","20cm_confused","MACHO_det","WISE_det","MCELS_det","Koz1_det","Koz3_det","SixDf_det"
"1","055330-743805","f","f","f","f","f","f","f","f","f","f"
"2","060138-735520","t","f","t","f","f","f","f","f","f","f"
"3","061726-701648","t","f","f","f","f","f","f","f","f","f"
"4","051716-632922","t","f","t","f","f","f","f","f","f","f"
"5","051717-631107","t","f","f","f","f","f","f","f","f","f"
"6","051717-672355","t","f","f","f","f","f","f","f","f","f"
"7","051721-664954","t","f","f","f","f","f","f","f","f","f"
"8","051725-703016","t","f","f","f","f","f","f","f","f","f"
"9","051725-721343","t","f","f","f","f","f","f","f","f","f"
"10","051728-694243","t","f","f","f","f","f","f","f","f","f"
"11","051730-675749","t","f","f","f","f","f","f","f","f","f"
"12","051732-663705","t","f","f","f","f","f","f","f","f","f"
"13","051733-690437","t","f","f","f","f","f","f","f","f","f"
"14","050321-721722","t","f","f","f","f","f","f","f","f","f"
"15","051734-745058","f","f","f","f","f","f","f","f","f","f"
"16","051741-685546","t","f","f","f","f","f","f","f","f","f"
"17","051744-742826","t","f","f","f","f","f","f","f","f","f"
"18","051746-740806","t","f","f","f","f","f","f","f","f","f"
"19","051806-661640","t","f","f","f","f","f","f","f","f","f"
"20","051806-740013","t","f","f","f","f","f","f","f","f","f"
"21","051808-742938","t","f","f","f","f","f","f","f","f","f"
"22","051818-655609","t","f","f","f","f","f","f","f","f","f"
"23","051819-661718","t","f","f","f","f","f","f","f","f","f"
"24","051821-733541","t","f","f","f","f","f","f","f","f","f"
"25","060602-704201","t","f","f","f","f","t","f","f","f","f"
"26","051822-712753","t","f","f","f","f","f","f","f","f","f"
"27","051826-695906","t","f","f","f","f","f","f","f","f","f"
"28","051831-715834","t","f","f","f","f","f","f","f","f","f"
"29","051843-663028","t","f","f","f","f","f","f","f","f","f"
"30","051847-715446","t","f","f","f","f","f","f","f","f","f"
"31","051857-643508","t","f","f","f","f","f","f","f","f","f"
"32","051859-640238","t","f","f","f","f","f","f","f","f","f"
"33","051906-714746","t","t","f","f","f","f","f","f","f","f"
"34","051914-641336","t","f","f","f","f","f","f","f","f","f"
"35","051916-701416","t","f","f","f","f","f","f","f","f","f"
"36","061349-702329","t","f","f","f","f","t","f","f","f","f"
"37","051919-663924","t","f","f","f","f","f","f","f","f","f"
"38","051919-714802","t","t","f","f","f","f","f","f","f","f"
"39","051926-674703","t","f","f","f","f","f","f","f","f","f"
"40","051927-644037","t","t","f","f","f","f","f","f","f","f"
"41","051934-670852","t","f","f","f","f","f","f","f","f","f"
"42","051939-674934","t","f","f","f","f","f","t","f","f","f"
"43","051949-721059","t","f","f","f","f","f","f","f","f","f"
"44","051950-625153","f","f","f","f","f","f","f","f","f","f"
"45","051951-710018","t","f","f","f","f","f","f","f","f","f"
"46","051952-632355","t","f","f","f","f","f","f","f","f","f"
"47","055104-710610","t","f","f","f","f","f","f","f","f","f"
"48","051957-642525","t","f","f","f","f","f","f","f","f","f"
"49","052000-694647","t","f","f","t","f","f","f","f","f","f"
"50","052005-694726","t","f","f","f","f","f","f","f","f","f"
"51","052006-680223","t","f","f","f","f","f","f","f","f","f"
"52","052009-665021","t","f","f","f","f","f","f","f","f","f"
"53","052014-692429","t","f","f","f","f","f","f","f","f","f"
"54","052018-654309","t","f","f","f","f","f","f","f","f","f"
"55","052019-681240","t","t","f","f","f","f","f","f","f","f"
"56","052022-724444","t","f","f","f","f","f","f","f","f","f"
"57","052023-652547","t","f","f","f","f","f","f","f","f","f"
"58","060234-704155","t","f","f","f","f","f","f","f","f","f"
"59","052024-635937a","t","f","f","f","f","f","f","f","f","f"
"60","052027-625509","f","f","f","f","f","f","f","f","f","f"
"61","052029-681209","t","t","f","f","f","f","f","f","f","f"
"62","052033-693525","t","f","f","f","f","f","f","f","f","f"
"63","052044-703734","t","f","f","f","f","f","f","f","f","f"
"64","052046-685511","t","f","f","f","f","f","f","f","f","f"
"65","052047-630936","t","f","f","f","f","f","f","f","f","f"
"66","052055-664132","t","f","f","f","f","f","f","f","f","f"
"67","052101-700630","t","t","f","f","f","f","f","f","f","f"
"68","052104-631329","t","f","f","f","f","f","f","f","f","f"
"69","061048-702034","t","f","t","f","f","f","f","f","f","f"
"70","052105-700721","t","t","f","f","f","f","f","f","f","f"
"71","052106-723422","t","t","f","f","f","f","f","f","f","f"
"72","052108-674330","t","f","f","f","f","f","f","f","f","f"
"73","052110-650812","t","f","f","f","f","f","t","f","f","f"
"74","052114-631234","t","f","f","f","f","f","f","f","f","f"
"75","052117-702102","t","f","f","f","f","f","f","f","f","f"
"76","052118-694050","t","f","f","f","f","f","f","f","f","f"
"77","052121-725754","t","f","f","f","f","f","f","f","f","f"
"78","052125-634156","t","f","f","f","f","f","f","f","f","f"
"79","052127-670720","t","f","f","f","f","f","f","f","f","f"
"80","050402-720346","t","f","f","f","f","t","f","f","f","f"
"81","052128-715958","t","t","f","f","f","f","f","f","f","f"
"82","052134-652917","t","f","f","f","f","f","f","f","f","f"
"83","052134-694023","t","t","f","f","f","f","f","f","f","f"
"84","052137-641627","t","f","f","f","f","f","f","f","f","f"
"85","052138-663541","t","f","f","f","f","f","f","f","f","f"
"86","052143-671906","t","f","f","f","f","f","f","f","f","f"
"87","052143-720401","t","f","f","f","f","f","f","f","f","f"
"88","052153-683653","t","f","f","f","f","f","t","f","f","f"
"89","052209-684339","t","f","f","f","f","f","f","f","f","f"
"90","052224-641238","t","f","f","f","f","f","f","f","f","f"
"91","060005-703834","t","f","f","f","f","f","f","f","f","f"
"92","052224-671951","t","f","f","f","f","f","f","f","f","f"
"93","052230-652519","t","f","f","f","f","f","f","f","f","f"
"94","052230-734753","t","f","f","f","f","f","f","f","f","f"
"95","052231-695836","t","f","f","f","f","f","f","f","f","f"
"96","052231-700937","t","f","t","f","f","f","f","f","f","f"
"97","052232-625928","f","f","f","f","f","f","f","f","f","f"
"98","052232-640542","t","f","f","f","f","f","f","f","f","f"
"99","052240-660926","t","f","f","f","f","f","f","f","f","f"
"100","052244-695758","t","f","f","f","f","f","f","f","f","f"
"101","052249-664058","t","f","t","f","f","f","f","f","f","f"
"102","050036-720626","t","f","f","f","f","f","f","f","f","f"
"103","052300-732507","t","f","f","f","f","f","f","f","f","f"
"104","052315-633754","t","f","f","f","f","f","f","f","f","f"
"105","052319-710154","t","f","f","f","f","f","f","f","f","f"
"106","052320-641111","t","f","f","f","f","f","f","f","f","f"
"107","052322-692136","t","f","f","f","f","f","f","f","f","f"
"108","052324-645247","t","f","f","f","f","f","f","f","f","f"
"109","052331-654142","t","f","f","f","f","f","t","f","f","f"
"110","052336-701145","t","f","f","f","f","f","f","f","f","f"
"111","052338-705016","t","t","f","f","f","f","t","f","f","f"
"112","052341-705120","t","t","f","f","f","f","f","f","f","f"
"113","053416-743732","f","f","t","f","f","f","f","f","f","f"
"114","054307-710405","t","f","f","f","f","f","f","f","f","f"
"115","052350-640153","t","f","f","f","f","f","f","f","f","f"
"116","052358-655011","t","f","t","f","f","f","f","f","f","f"
"117","052359-634338","t","f","t","f","f","f","f","f","f","f"
"118","052416-715759","t","f","t","f","f","f","f","f","f","f"
"119","052422-705538","t","f","f","f","f","f","f","f","f","f"
"120","052423-674828","t","f","f","f","f","f","f","f","f","f"
"121","052428-632801","t","f","f","f","f","f","f","f","f","f"
"122","052432-664237","t","f","f","f","f","f","f","f","f","f"
"123","052441-710131","t","f","f","f","f","f","f","f","f","f"
"124","052449-671918","t","f","f","f","f","f","f","f","f","f"
"125","050735-715234","t","f","f","f","f","f","f","f","f","f"
"126","052452-672310","t","f","f","f","f","f","f","f","f","f"
"127","052452-682856","t","t","t","t","f","f","f","f","f","f"
"128","052457-733512","t","f","f","f","f","f","f","f","f","f"
"129","052503-700133","t","f","f","f","f","f","f","f","f","f"
"130","052512-710738","t","f","f","f","f","f","f","f","f","f"
"131","052520-633255","t","f","f","f","f","f","f","f","f","f"
"132","052521-663808","t","f","f","f","f","f","f","f","f","f"
"133","052525-633146","t","f","f","f","f","f","f","f","f","f"
"134","052537-712744","t","f","f","f","f","f","f","f","f","f"
"135","052540-740604","t","f","f","f","f","f","f","f","f","f"
"136","051812-713807","t","f","f","f","f","f","f","f","f","f"
"137","052541-670757","t","f","f","f","f","f","f","f","f","f"
"138","052543-711539","t","f","f","f","f","f","f","f","f","f"
"139","052544-670501","t","f","f","f","f","f","f","f","f","f"
"140","052547-695926","t","f","f","f","f","f","f","f","f","f"
"141","052555-663633","t","f","f","f","f","f","f","f","f","f"
"142","052555-693413","t","f","f","f","f","f","f","f","f","f"
"143","052610-663726","t","f","f","f","f","f","f","f","f","f"
"144","052611-702245","t","f","f","f","f","f","f","f","f","f"
"145","052614-664453","t","f","f","f","f","f","f","f","f","f"
"146","052615-691011","t","f","f","f","f","f","f","f","f","f"
"147","055516-703732","t","f","f","f","f","f","f","f","f","f"
"148","052617-680316","t","f","f","f","f","f","f","f","f","f"
"149","052624-690759","t","f","f","f","f","f","f","f","f","f"
"150","052630-654754","t","t","f","f","f","f","f","f","f","f"
"151","052631-654906","t","t","f","f","f","f","f","f","f","f"
"152","052636-641058","t","f","f","f","f","f","f","f","f","f"
"153","052644-690800","t","f","f","f","f","f","f","f","f","f"
"154","052649-653613","t","f","f","f","f","f","f","f","f","f"
"155","052653-675259","t","f","f","f","f","f","f","f","f","f"
"156","052659-682952","t","f","f","f","f","f","f","f","f","f"
"157","052702-673833","t","f","f","f","f","f","f","f","f","f"
"158","044611-720511","t","f","f","f","f","f","f","f","f","f"
"159","052705-643908","t","f","f","f","f","f","f","f","f","f"
"160","052713-642526","t","t","f","f","f","f","f","f","f","f"
"161","052718-642422","t","t","f","f","f","f","f","f","f","f"
"162","052722-634646","t","f","f","f","f","f","f","f","f","f"
"163","052727-703346","t","f","f","f","f","f","f","f","f","f"
"164","052730-655235","t","f","f","f","f","f","f","f","f","f"
"165","052731-663656","t","f","f","f","f","f","f","f","f","f"
"166","052731-721625","t","f","f","f","f","f","f","f","f","f"
"167","052732-675445","t","f","f","f","f","f","f","f","f","f"
"168","052737-671718","t","f","f","f","f","f","f","f","f","f"
"169","052731-712228","t","f","f","f","f","f","f","f","f","f"
"170","052740-655313","t","f","f","f","f","f","f","f","f","f"
"171","052749-660130","t","f","f","f","f","f","f","f","f","f"
"172","052758-674956","t","f","f","f","f","f","t","f","f","f"
"173","052800-702538","t","f","f","f","f","f","f","f","f","f"
"174","052813-725336","t","f","f","f","f","f","f","f","f","f"
"175","052825-640427","t","f","f","f","f","f","f","f","f","f"
"176","052836-682627","t","f","f","f","f","f","t","f","f","f"
"177","052844-713441","t","f","f","f","f","f","f","f","f","f"
"178","052846-675650","t","f","f","f","f","f","f","f","f","f"
"179","052847-690030","t","f","t","f","f","f","f","f","f","f"
"180","061030-700234","t","f","f","f","f","t","f","f","f","f"
"181","052853-632639","t","f","f","f","f","f","f","f","f","f"
"182","052853-682343","t","f","f","f","f","f","f","f","f","f"
