# Name            20cm_box   20cm_blended   20cm_dbl_ext   20cm_confused   MACHO_det   WISE_det   MCELS_det   Koz1_det   Koz3_det   SixDf_det  
  040217-734215   false      false          false          false           false       false      false       false      false      false      
  040440-724024   false      false          false          false           false       false      false       false      false      false      
  040447-732915   false      false          false          false           false       false      false       false      false      false      
  040455-732752   false      false          false          false           false       false      false       false      false      false      
  040456-734144   true       false          false          false           false       false      false       false      false      false      
  040513-723725   false      false          false          false           false       false      false       false      false      false      
  040518-733148   true       false          false          false           false       false      false       false      false      false      
  040532-733554   true       false          false          false           false       true       false       false      false      false      
  040557-725156   false      false          false          false           false       false      false       false      false      false      
  040633-733239   true       false          false          false           false       false      false       false      false      false      
  040645-721406   false      false          false          false           false       false      false       false      false      false      
  040654-722705   false      false          false          false           false       false      false       false      false      false      
  040655-725509   false      false          false          false           false       false      false       false      false      false      
  040659-733405   true       false          false          false           false       true       false       false      false      false      
  040709-730820   true       false          false          false           false       false      false       false      false      false      
  040717-715752   false      false          false          false           false       true       false       false      false      false      
  040746-732013   true       false          false          false           false       false      false       false      false      false      
  040748-715413   false      false          false          false           false       false      false       false      false      false      
  040749-721622   false      false          false          false           false       true       false       false      false      false      
  040758-725807   true       false          false          false           false       false      false       false      false      false      
  040802-725632   true       false          false          false           false       true       false       false      false      false      
  040802-733954   true       false          false          false           false       false      false       false      false      false      
  040810-723955   false      false          false          false           false       false      false       false      false      false      
  040814-730421   true       false          false          false           false       false      false       false      false      false      
  040820-724819   false      false          false          false           false       false      false       false      false      false      
  040821-734024   true       false          false          false           false       true       false       false      false      false      
  040823-733534   true       false          false          false           false       false      false       false      false      false      
  040834-721908   false      true           false          false           false       false      false       false      false      false      
  040841-730557   true       false          false          false           false       true       false       false      false      false      
  040904-721914   false      true           false          false           false       false      false       false      false      false      
  040914-714204   false      false          false          false           false       true       false       false      false      false      
  040936-731130   true       false          false          false           false       true       false       false      false      false      
  040939-731456   true       false          false          false           false       false      false       false      false      false      
  041000-721107   false      false          false          false           false       false      false       false      false      false      
  041004-713752   false      false          false          false           false       false      false       false      false      false      
  041012-725708   true       false          false          false           false       true       false       false      false      false      
  041015-733747   true       false          false          false           false       false      false       false      false      false      
  041032-734234   true       false          false          false           false       false      false       false      false      false      
  041059-733107   true       false          true           false           false       false      false       false      false      false      
  041121-723936   true       false          false          false           false       true       false       false      false      false      
  041122-714350   false      false          false          false           false       false      false       false      false      false      
  041126-740910   false      false          false          false           false       false      false       false      false      false      
  041127-733446   true       false          false          false           false       false      false       false      false      false      
  041136-725926   true       false          false          false           false       true       false       false      false      false      
  041137-732433   true       false          false          false           false       true       false       false      false      false      
  041139-733151   true       false          false          false           false       false      false       false      false      false      
  041142-730254   true       false          false          false           false       true       false       false      false      false      
  041151-723454   true       false          false          false           false       false      false       false      false      false      
  041158-732747   true       false          false          false           false       true       false       false      false      false      
  041200-715113   false      false          false          false           false       false      false       false      false      false      
  041211-711850   false      false          false          false           false       false      false       false      false      false      
  041219-724847   true       false          false          false           false       false      false       false      false      false      
  041228-734304   true       false          false          false           false       false      false       false      false      false      
  041232-730403   true       false          false          false           false       false      false       false      false      false      
  041234-730724   true       false          false          false           false       false      false       false      false      false      
  041234-732545   true       false          false          false           false       false      false       false      false      false      
  041239-721444   true       false          false          false           false       false      false       false      false      false      
  041253-721920   true       false          false          false           false       false      false       false      false      false      
  041258-723913   true       false          false          false           false       false      false       false      false      false      
  041318-740931   false      false          false          false           false       false      false       false      false      false      
  041331-705842   false      false          false          false           false       false      false       false      false      false      
  041332-732432   true       false          false          false           false       false      false       false      false      false      
  041332-733117   true       false          false          false           false       true       false       false      false      false      
  041333-724248   true       false          false          false           false       false      false       false      false      false      
  041335-724610   true       false          false          false           false       true       false       false      false      false      
  041337-730103   true       false          false          false           false       false      false       false      false      false      
  041351-725935   true       false          false          false           false       true       false       false      false      false      
  041353-724131   true       false          false          false           false       false      false       false      false      false      
  041353-732723   true       false          false          false           false       false      false       false      false      false      
  041402-711729   false      false          false          false           false       true       false       false      false      false      
  041411-733545   true       false          false          false           false       false      false       false      false      false      
  041411-732425   true       false          false          false           false       false      false       false      false      false      
  041412-732922   true       false          false          false           false       false      false       false      false      false      
  041417-711149   false      false          false          false           false       false      false       false      false      false      
  041420-733956   true       false          true           false           false       false      false       false      false      false      
  041423-721352   true       false          false          false           false       false      false       false      false      false      
