# Name             RA2000        DEC2000       MWA_072-103_S   MWA_072-103_dS   MWA_103-134_S   MWA_103-134_dS   MWA_139-170_S   MWA_139-170_dS   MWA_170-231_S   MWA_170-231_dS   MOST_70cm_S   MOST_70cm_dS   SUMSS_40cm_S   SUMSS_40cm_dS   ATCA_20cm_S   ATCA_20cm_dS   PMN_6cm_S   PMN_6cm_dS   ATCA_6cm_S   ATCA_6cm_dS   AT20G_6cm_S   AT20G_6cm_dS   ATCA_3cm_S   ATCA_3cm_dS   AT20G_3cm_S   AT20G_3cm_dS   AT20G_2cm_S   AT20G_2cm_dS   alpha    alpha_err   alpha_N  
  055330-743805    05:53:30.00   -74:38:05.3   323             69               282             34               217             19               170             17               ...           ...            31.6           1.6             ...           ...            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.07    0.35        5        
  060138-735520    06:01:38.78   -73:55:20.3   562             70               472             34               359             18               304             14               ...           ...            82.5           3.8             54.0          5.4            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.87    0.16        6        
  061726-701648    06:17:26.42   -70:16:48.0   391             56               264             23               241             17               169             13               ...           ...            46.2           1.6             23.3          2.3            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.99    0.17        6        
  051716-632922    05:17:16.18   -63:29:22.2   1200            57               844             26               695             14               516             12               ...           ...            103.0          4.4             57.7          5.8            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.103   0.076       6        
  051717-631107    05:17:17.09   -63:11:07.4   ...             ...              ...             ...              96              22               76              17               ...           ...            20.6           1.5             13.0          1.3            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.91    0.39        4        
  051717-672355    05:17:17.11   -67:23:55.0   ...             ...              ...             ...              ...             ...              89              21               ...           ...            28.5           2.0             18.4          1.9            ...         ...          4.61         0.61          ...           ...            ...          ...           ...           ...            ...           ...            -0.93    0.34        4        
  051721-664954    05:17:21.96   -66:49:54.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            19.9           2.8             6.47          0.68           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -2.22    0.84        2        
  051725-703016    05:17:25.49   -70:30:16.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            24.4           1.2             14.2          1.4            ...         ...          2.76         0.49          ...           ...            ...          ...           ...           ...            ...           ...            -1.26    0.12        3        
  051725-721343    05:17:25.97   -72:13:43.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            19.5           3.8             3.33          0.42           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -3.5     1.2         2        
  051728-694243    05:17:28.56   -69:42:43.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            13.0           2.0             7.56          0.85           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.07    0.81        2        
