# col1   Name            RA            DEC            Peak        Peak_err        Flux        Flux_err        rms  
  1      042952-722719   04:29:51.80   -72:27:19.40   42.0        ...             43.0        4               1.55     
  2      043047-721634   04:30:46.83   -72:16:34.79   31.0        4               81.0        2               1.29     
  3      043405-723619   04:34:02.77   -72:36:30.16   7.0         ...             7.6         0.8             1.42     
  4      043426-721505   04:34:24.06   -72:15:03.22   14.0        ...             14.0        1               0.96     
  5      043455-723957   04:34:54.78   -72:39:56.37   299.0       ...             312.3       0.7             1.42     
  6      043518-704614   04:35:17.49   -70:46:10.87   25.0        ...             25.0        3               1.66     
  7      043521-722117   04:35:21.25   -72:21:27.92   6.0         ...             6.0         ...             1.18     
  8      043552-704900   04:35:52.23   -70:48:58.80   63.0        ...             64.0        6               1.66     
  9      043555-722838   04:35:57.26   -72:28:33.54   11.0        ...             11.0        1               1.29     
  10     043612-722349   04:36:15.71   -72:23:46.03   5.0         ...             5.1         0.5             1.17     
  11     043613-691038   04:36:13.23   -69:10:39.40   29.0        2               29.2        0.2             1.0      
  12     043632-715842   04:36:33.04   -71:58:43.33   14.0        ...             14.0        1               1.05     
  13     043655-693033   04:36:54.81   -69:30:32.91   181.0       ...             205.1       0.6             1.13     
  14     043658-685154   04:36:55.86   -68:51:38.20   6.0         ...             6.0         ...             1.13     
  15     043700-681533   04:37:00.53   -68:15:43.51   8.0         ...             8.6         0.9             1.29     
  16     043704-714819   04:37:04.02   -71:48:18.92   159.0       ...             253.0       1               1.44     
  17     043714-700916   04:37:14.41   -70:09:15.91   172.0       ...             197.0       1               1.71     
  18     043719-690830   04:37:18.92   -69:08:13.84   5.0         ...             5.0         ...             0.96     
  19     043720-691211   04:37:19.84   -69:12:08.23   12.0        2               12.0        0.2             1.0      
  20     043733-713902   04:37:30.69   -71:38:58.97   9.0         2               9.0         0.2             1.21     
  21     043737-721737   04:37:36.56   -72:17:49.78   5.0         ...             5.0         ...             0.88     
  22     043739-714117   04:37:38.67   -71:41:17.83   23.0        ...             23.0        2               1.44     
  23     043744-722749   04:37:44.46   -72:27:49.96   158.0       ...             202.4       0.7             1.12     
  24     043756-704837   04:37:58.08   -70:48:37.61   13.0        ...             14.0        1               1.47     
  25     043806-690422   04:38:06.48   -69:04:22.13   24.0        2               24.4        0.2             1.16     
  26     043809-703124   04:38:09.96   -70:31:35.52   10.0        ...             10.0        1               1.34     
  27     043814-692910   04:38:14.23   -69:29:10.67   42.0        ...             46.8        0.4             0.87     
  28     043826-720824   04:38:24.88   -72:08:23.67   7.0         ...             8.0         0.8             0.83     
  29     043828-693028   04:38:28.59   -69:30:36.26   3.0         ...             3.4         0.3             0.85     
  30     043834-714149   04:38:35.06   -71:41:41.18   6.0         1               5.6         0.1             1.12     
  31     043840-690025   04:38:39.88   -69:00:24.54   72.0        3               104.2       0.8             0.92     
  32     043840-710857   04:38:40.96   -71:08:57.67   35.0        2               34.5        0.2             1.01     
  33     043850-712022   04:38:49.59   -71:20:23.58   5.5         0.8             5.49        0.08            0.77     
  34     043850-693022   04:38:51.98   -69:30:27.37   5.0         ...             5.2         0.5             0.85     
  35     043851-682258   04:38:51.40   -68:22:59.56   164.0       ...             167.6       0.7             1.38     
  36     043901-682037   04:39:01.37   -68:20:36.83   20.0        3               19.9        0.3             1.29     
  37     043905-684311   04:39:05.31   -68:43:12.48   11.0        2               11.0        0.2             0.8      
  38     043908-705333   04:39:07.44   -70:53:40.87   10.0        ...             10.0        1               1.09     
  39     043908-694639   04:39:06.89   -69:46:22.52   5.0         ...             5.1         0.5             0.92     
  40     043915-694849   04:39:15.37   -69:48:51.68   19.0        ...             20.0        2               0.92     
  41     043917-693959   04:39:16.49   -69:39:58.94   21.0        ...             22.0        2               0.92     
  42     043922-692353   04:39:22.52   -69:23:52.94   37.0        2               44.7        0.6             0.87     
  43     043932-704505   04:39:32.71   -70:45:05.11   244.0       ...             298.0       1               1.65     
  44     043941-712808   04:39:41.32   -71:28:08.26   21.0        1               20.6        0.1             0.67     
  45     043942-693717   04:39:42.25   -69:37:17.21   4.0         ...             4.2         0.4             0.77     
  46     043942-691423   04:39:41.97   -69:14:23.29   48.0        ...             55.4        0.4             0.89     
  47     043945-681320   04:39:45.13   -68:13:22.13   60.0        ...             61.0        6               0.95     
  48     043946-694022   04:39:45.86   -69:40:23.06   44.0        ...             49.4        0.4             0.82     
  49     043950-683222   04:39:49.99   -68:32:22.39   31.0        ...             32.0        3               0.94     
  50     043954-700027   04:39:54.23   -70:00:26.82   23.0        2               22.6        0.2             1.21     
  51     044005-664422   04:40:06.00   -66:44:24.04   17.0        ...             18.0        2               1.17     
  52     044006-671359   04:40:06.03   -67:13:58.12   38.0        ...             38.0        4               1.26     
  53     044006-662136   04:40:06.08   -66:21:26.74   16.0        ...             16.0        2               2.06     
  54     044008-715718   04:40:08.17   -71:57:17.08   105.0       3               117.8       0.7             1.03     
  55     044009-695726   04:40:08.86   -69:57:24.53   29.0        2               28.7        0.2             1.21     
  56     044009-721650   04:40:11.36   -72:16:53.09   5.0         ...             5.8         0.6             0.71     
  57     044011-692321   04:40:10.56   -69:23:17.94   10.0        1               10.0        0.1             0.77     
  58     044017-695349   04:40:16.47   -69:53:47.23   16.0        2               16.5        0.2             1.21     
  59     044018-692833   04:40:16.17   -69:28:40.90   7.0         ...             7.5         0.7             0.77     
  60     044020-704242   04:40:19.49   -70:42:33.90   7.0         ...             7.8         0.8             0.97     
  61     044020-694024   04:40:19.90   -69:40:19.64   7.0         ...             7.8         0.8             0.77     
  62     044022-665409   04:40:22.30   -66:54:01.92   10.0        ...             11.0        1               1.14     
  63     044022-674543   04:40:22.83   -67:45:43.36   34.0        ...             34.0        3               1.13     
  64     044026-700902   04:40:26.43   -70:08:47.32   7.0         ...             7.1         0.7             1.14     
  65     044028-683507   04:40:29.04   -68:35:07.38   17.0        2               17.0        0.2             0.94     
  66     044037-714544   04:40:38.95   -71:45:58.05   6.0         ...             6.7         0.7             1.12     
  67     044040-712358   04:40:40.77   -71:23:46.80   7.0         ...             7.3         0.7             0.64     
  68     044047-695218   04:40:47.30   -69:52:18.38   82.0        3               82.8        0.5             0.82     
  69     044050-704216   04:40:51.18   -70:41:59.67   6.0         ...             6.3         0.6             0.97     
  70     044052-700532   04:40:50.47   -70:05:35.48   15.0        ...             16.0        2               1.21     
  71     044057-662420   04:40:56.83   -66:24:22.70   879.0       9               882.0       2               1.54     
  72     044059-692907   04:40:58.48   -69:29:05.45   9.0         1               8.9         0.1             0.77     
