idPNMain,Name,RA,DEC,170-231_10_S,170-231_10_dS,70cm_2_S,70cm_2_dS,40cm_6_S,40cm_6_dS,40cm_3_S,40cm_3_dS,40cm_1_S,40cm_1_dS,20cm_8_S,20cm_8_dS,6cm_4_S,6cm_4_dS,6cm_7_S,6cm_7_dS,6cm_9_S,6cm_9_dS,3cm_7_S,3cm_7_dS,3cm_9_S,3cm_9_dS,2cm_9_S,2cm_9_dS,lin_slope_all,lin_slope_err_all,n_points_all,lin_slope_nomwa,lin_slope_err_nomwa,n_points_nomwa,20cm_box,20cm_blended,20cm_dbl_ext,20cm_confused,MACHO_det,WISE_det,MCELS_det,Koz1_det,Koz3_det,SixDf_det
1,055330-743805,05:53:30.00,-74:38:05.3,169.793,121.319,,,31.6,1.6,,,,,15.6896,0.464894,,,,,,,,,,,,,-1.21948,2.04359,3,-1.38235,0.380921,2,false,false,false,false,false,false,false,false,false,false
2,061848-734045,06:18:48.36,-73:40:45.8,1354.41,176.591,750,50,283.9,8.6,,,257.808,1.31449,140.721,0.387873,25,6,,,,,,,,,,,-1.27799,0.328936,5,-1.37508,0.357926,4,true,false,false,false,false,false,false,false,false,false
3,063039-731253,06:30:39.12,-73:12:53.6,139.405,123.936,,,24.6,2.5,,,,,12.0567,1.02699,,,,,,,,,,,,,-1.25435,2.44658,3,-1.40795,0.766974,2,false,false,true,false,false,false,false,false,false,false
4,063244-730522,06:32:44.71,-73:05:22.2,,,,,39.4,1.5,,,,,8.00556,0.654485,,,,,,,,,,,,,-3.14636,0.434722,2,-3.14636,0.434722,2,false,false,false,false,false,true,false,false,false,false
5,062818-731217,06:28:18.00,-73:12:17.6,240.2,130.322,,,78.9,2.5,,,65.0362,1.45301,49.3894,0.492114,,,,,,,,,,,,,-0.809396,1.65647,3,-0.924868,0.28383,2,false,false,false,false,false,true,false,false,false,false
6,061740-733314,06:17:40.01,-73:33:14.4,254.36,117.376,,,73.6,2.4,,,59.9405,1.39355,45.3703,0.415569,,,,,,,,,,,,,-0.886223,1.42364,3,-0.955158,0.285218,2,true,false,false,false,false,true,false,false,false,false
7,062631-731240,06:26:31.61,-73:12:40.7,340.702,125.46,,,121,5,,,105.197,1.55551,76.0585,0.51186,31,6,,,,,,,,,,,-0.755901,0.702195,4,-0.762537,0.416651,3,true,false,true,false,false,false,false,false,false,false
8,061402-733801,06:14:02.40,-73:38:02.1,134.537,103.434,,,46.4,1.6,,,33.2898,1.2644,27.6258,0.40532,,,,,,,,,,,,,-0.802503,2.09897,3,-1.02379,0.278372,2,true,false,false,false,false,false,false,false,false,false
9,061512-733150,06:15:12.43,-73:31:50.9,122.366,144.193,,,42.2,1.5,,,28.1648,1.18993,28.4083,0.432383,,,,,,,,,,,,,-0.752883,3.15475,3,-0.781321,0.281231,2,true,false,false,false,false,false,false,false,false,false
10,060138-735520,06:01:38.78,-73:55:20.3,296.092,112.363,,,82.5,3.8,,,57.6116,1.47681,53.5095,0.42333,,,,,,,,,,,,,-0.886698,1.20314,3,-0.854767,0.406082,2,true,false,true,false,false,false,false,false,false,false
