`Flux`/`Peak`,lin_slope
1,-1.21948
1.0003524193176612,-1.27799
1.6291390965381816,-1.25435
2.215277803827503,-1.58461
1,-1.22726
1.5100000142802799,-1.31134
1.0026455474895681,-1.24296
1.0909091323538338,-1.08687
1.6000000784271666,-1.26737
1.1004291598462943,-1.05245
1.1243780757968647,-1.15806
1.1534988719013024,-1.03511
1.1975000880099853,-1.0001
1,-1.22174
1,-1.07901
1,-1.0971
1.1627357827467055,-1.05568
1,-1.01261
1.6843853719860036,-1.22092
1.561475306592161,-1.15088
1.1351931858843152,-1.11404
1.0213766366989168,-1.31597
1.0604027701408978,-1.56953
1.0819672045334428,-1.01006
1.5109489204917683,-1.9112
1.00111104709131,-1.14596
1.0461759655032759,-1.02805
1.1915273920852787,-1.03184
1.1402142749358684,-1.0285
1.1288209440048205,-1.15592
1.0716723636275098,-1.19671
2.272413787787933,-1.03211
1.3294798826770327,-1.00368
1.0017513431922829,-1.15481
1.107391963203068,-1.01744
1.0393443014258632,-1.3274
1,-1.11631
1.1459143967461547,-1.14196
1,-1.00549
1.3189368813937536,-1.03409
1.3459743694804738,-1.17724
1.1118420359299341,-1.01263
1,-1.2135
1.3563218710719864,-1.10651
1.2346837927931682,-1.05698
1.1159420358320291,-1.0685
1.020211725564498,-1.08603
1.055401722117518,-1.26897
1.2532981105013474,-1.05731
1.302706598667556,-1.12321
1.0203251678557435,-1.18821
1.0205562151266427,-1.25014
1.1637011169175702,-1.59503
1.0011948524584648,-1.04795
1.0615763906137727,-1.14979
1.3898530654015733,-1.34783
1.0010090236228513,-1.02305
1,-1.00844
1.184890681241563,-1.12814
1.0301932975729464,-1.01895
1.2033333649983016,-1.09173
1.039631390581216,-1.37446
1.2985075733360154,-1.09483
1.0468227883113097,-1.01856
1.015374293066398,-1.08124
1.0429799203663208,-1.10135
1.0651628880802384,-1.03968
1,-1.0396
1,-1.15679
1.660377446903774,-1.21427
1.0279225330507846,-1.13036
1.733333427943882,-1.49216
1.004514749375404,-1.07671
1,-1.02719
1,-1.09085
1,-1.15862
1.0490928858404855,-1.08349
1.0158730878320978,-1.19328
1,-1.04477
1.2299169703999373,-1.1454
1.6888887355847653,-1.87242
1.0382966255259463,-1.10041
1.0258503722705405,-1.21176
1.039473783104435,-1.06553
1.1789882329390589,-1.18568
1.0596331015991836,-1.86688
1.0527307501752852,-1.22105
1.2347825936724268,-1.46831
1.0663900831844957,-1.05441
1.05710253483898,-1.05683
1.086956473324442,-1.04064
1.4088050088520554,-1.09165
1.0578899008662292,-1.21354
1.0033333898335708,-1.1639
1.0861618791336862,-1.02556
1.2103786901273224,-1.26158
1.0953435251541053,-1.01394
1.1314285604807797,-1.02335
1.2882881998500655,-1.47797
1.0802920627657953,-1.79185
1.396241243379952,-1.0896
1,-1.18595
1.2436975480466603,-1.07208
1.1512605686530735,-1.00906
1.0269122164307263,-1.02834
1,-1.13138
1,-1.2802
1.1253749984245172,-1.46076
1.50530037754437,-1.8809
1.1666666792862133,-1.41413
1.0107527369868863,-1.43316
1,-1.97787
1,-1.88203
1,-1.31572
1,-1.58928
1.1666666666666667,-2.70751
1,-1.06404
1.0291262539738313,-1.71253
1.1739130874916155,-1.64118
1.132231411955842,-1.32917
1.2912620876399843,-1.43204
1.0398935993666214,-1.09103
1.293333276212214,-1.17403
1.2348065792328042,-1.10622
1.396694158898718,-1.06202
1.2023810592929864,-1.32258
1,-1.06074
1,-1.37001
1.5416667906274282,-1.46823
1.0163934150912428,-1.34574
1.1249999664186572,-1.07255
1,-1.09263
1.1372549115091382,-1.25654
1,-1.56309
1,-1.06495
1,-1.19286
1,-1.87617
1,-1.44756
1.0181817873942949,-1.21204
1.4666666459706097,-1.17741
1.0526316111953795,-1.39056
1.2374101432823064,-1.70583
1,-1.20593
1.2484472365866994,-1.12682
1,-1.35829
1.1439999767541889,-1.33023
1.2935781031520999,-1.35186
1.1684211640807105,-1.32949
1,-1.09224
1,-1.26706
1.1171169946641932,-1.4347
1.8493150696582505,-1.09685
2.06206899032298,-1.35719
1,-1.06397
1,-1.12411
1.042016815930031,-1.47538
1.5249998981365982,-1.34604
1,-1.84239
1,-1.24863
1,-1.3709
1.5789473839000987,-1.20523
1.1369862568047944,-1.75258
1,-1.10122
1.1481480996018423,-1.69375
1.2134832072071393,-1.15735
1,-1.40905
1.0460525525713202,-1.31643
1.2343750272848397,-1.08348
1.4943820318780214,-1.28083
1.29032270178494,-1.68628
1,-1.18266
1.8125000363797863,-2.45526
1,-1.54611
1.2063492251211403,-1.49982
1.0736197426692622,-1.05646
1,-1.158
